episode,cue_index,turn_index,start,end,speaker,dialogue,confidence,basis,notes,language,english_subtitle,speaker_candidates
S02E02,293,1,"00:17:07,190","00:17:08,860",LOUIS DE POINTE DU LAC,Monsieur de Pointe du Lac.,uncertain,best contextual candidate from text-only sources,recognition_margin=1.36; no episode audio used,Mixed English/French,,SANTIAGO | DANIEL MOLLOY | ARMAND
S02E02,294,1,"00:17:11,040","00:17:12,365",ARMAND,Our finest seats.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.12; no episode audio used,English,,DANIEL MOLLOY | SANTIAGO | LOUIS DE POINTE DU LAC
S02E02,295,1,"00:17:16,327","00:17:18,560",LOUIS DE POINTE DU LAC,The house was only half full.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.92; no episode audio used,English,,DANIEL MOLLOY | ARMAND | SANTIAGO
S02E02,296,1,"00:17:18,610","00:17:23,220",ARMAND,A mixture of slavish devotees and over-served tourists.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.39; no episode audio used,English,,DANIEL MOLLOY | LOUIS DE POINTE DU LAC | SANTIAGO
S02E02,297,1,"00:17:23,270","00:17:25,290",ARMAND,We had become amusingly passé,uncertain,best contextual candidate from text-only sources,recognition_margin=0.24; no episode audio used,English,,DANIEL MOLLOY | LOUIS DE POINTE DU LAC | SANTIAGO
S02E02,298,1,"00:17:25,330","00:17:27,240",ARMAND,amongst the theater community,uncertain,best contextual candidate from text-only sources,recognition_margin=0.24; no episode audio used,English,,DANIEL MOLLOY | LOUIS DE POINTE DU LAC | SANTIAGO
S02E02,299,1,"00:17:27,290","00:17:28,810",ARMAND,and found a more receptive audience,uncertain,best contextual candidate from text-only sources,recognition_margin=0.24; no episode audio used,English,,DANIEL MOLLOY | LOUIS DE POINTE DU LAC | SANTIAGO
S02E02,300,1,"00:17:28,860","00:17:32,360",ARMAND,from our Anglican friends now invading Paris postwar.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.24; no episode audio used,English,,DANIEL MOLLOY | LOUIS DE POINTE DU LAC | SANTIAGO
S02E02,301,1,"00:17:33,052","00:17:34,860",LOUIS DE POINTE DU LAC,Five out of every seven performances,uncertain,best contextual candidate from text-only sources,recognition_margin=0.06; no episode audio used,English,,DANIEL MOLLOY | ARMAND | SANTIAGO
S02E02,302,1,"00:17:34,900","00:17:36,240",LOUIS DE POINTE DU LAC,were in the King's English.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.06; no episode audio used,English,,DANIEL MOLLOY | ARMAND | SANTIAGO
S02E02,303,1,"00:17:36,290","00:17:39,130",LOUIS DE POINTE DU LAC,Some had been there dozens of times.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.30; no episode audio used,English,,DANIEL MOLLOY | ARMAND | SANTIAGO
S02E02,304,1,"00:17:39,183","00:17:41,970",LOUIS DE POINTE DU LAC,And some couldn't care less what was spoken.,uncertain,best contextual candidate from text-only sources,recognition_margin=1.44; no episode audio used,English,,ARMAND | DANIEL MOLLOY | SANTIAGO
S02E02,305,1,"00:17:42,020","00:17:44,630",LOUIS DE POINTE DU LAC,They were all the same to us.,uncertain,best contextual candidate from text-only sources,recognition_margin=1.50; no episode audio used,English,,DANIEL MOLLOY | ARMAND | SANTIAGO
S02E02,306,1,"00:17:44,689","00:17:46,500",ARMAND,Cattle for our nightly sabbath.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.18; no episode audio used,English,,DANIEL MOLLOY | SANTIAGO | LOUIS DE POINTE DU LAC
S02E02,307,1,"00:17:46,550","00:17:49,200",ARMAND,But we were there for vampires,uncertain,best contextual candidate from text-only sources,recognition_margin=0.01; no episode audio used,English,,DANIEL MOLLOY | LOUIS DE POINTE DU LAC | SANTIAGO
S02E02,308,1,"00:17:49,250","00:17:52,600",ARMAND,and we felt their numbers in the charged air.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.01; no episode audio used,English,,DANIEL MOLLOY | LOUIS DE POINTE DU LAC | SANTIAGO
S02E02,309,1,"00:17:52,650","00:17:56,480",DANIEL MOLLOY,Places! Projections! Music!,uncertain,best contextual candidate from text-only sources,recognition_margin=0.22; no episode audio used,English,,ARMAND | LOUIS DE POINTE DU LAC | SANTIAGO
S02E02,310,1,"00:17:59,780","00:18:01,346",ARMAND,Screams and lights.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.12; no episode audio used,English,,DANIEL MOLLOY | SANTIAGO | LOUIS DE POINTE DU LAC
S02E02,311,1,"00:18:01,370","00:18:03,560",ARMAND,And Santiago!,uncertain,best contextual candidate from text-only sources,recognition_margin=0.34; no episode audio used,English,,DANIEL MOLLOY | SANTIAGO | LOUIS DE POINTE DU LAC
S02E02,312,1,"00:18:03,610","00:18:05,540",ARMAND,Ladies and gentlemen!,uncertain,best contextual candidate from text-only sources,recognition_margin=0.12; no episode audio used,English,,DANIEL MOLLOY | SANTIAGO | LOUIS DE POINTE DU LAC
S02E02,313,1,"00:18:06,140","00:18:08,390",ARMAND,Madames and messieurs!,uncertain,best contextual candidate from text-only sources,recognition_margin=0.12; no episode audio used,English,,DANIEL MOLLOY | SANTIAGO | LOUIS DE POINTE DU LAC
S02E02,314,1,"00:18:10,230","00:18:13,220",ARMAND,Offal and offalesses.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.12; no episode audio used,English,,DANIEL MOLLOY | SANTIAGO | LOUIS DE POINTE DU LAC
S02E02,315,1,"00:18:27,290","00:18:29,220",ARMAND,Welcome!,uncertain,best contextual candidate from text-only sources,recognition_margin=0.05; no episode audio used,English,,DANIEL MOLLOY | LOUIS DE POINTE DU LAC | SANTIAGO
S02E02,316,1,"00:18:29,275","00:18:32,780",DANIEL MOLLOY,To the displacement of reason.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.37; no episode audio used,English,,ARMAND | SANTIAGO | LOUIS DE POINTE DU LAC
S02E02,317,1,"00:18:33,480","00:18:39,300",ARMAND,And the excretion of pathetic desires.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.18; no episode audio used,English,,DANIEL MOLLOY | SANTIAGO | LOUIS DE POINTE DU LAC
S02E02,318,1,"00:18:39,340","00:18:41,390",DANIEL MOLLOY,By that I mean...,uncertain,best contextual candidate from text-only sources,recognition_margin=0.97; no episode audio used,English,,LOUIS DE POINTE DU LAC | ARMAND | SANTIAGO
S02E02,319,1,"00:18:41,430","00:18:43,280",LOUIS DE POINTE DU LAC,Good evening.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.83; no episode audio used,English,,DANIEL MOLLOY | SANTIAGO | ARMAND
S02E02,319,2,"00:18:41,430","00:18:43,280",DANIEL MOLLOY,Good evening!,uncertain,best contextual candidate from text-only sources,recognition_margin=0.18; no episode audio used,English,,SANTIAGO | LOUIS DE POINTE DU LAC | ARMAND
